symbol,ltp,change,Hight,low,open,qty,pclose,diff
SLBBL,802.00,0.46,802.00,792.10,793.00,"1,646",798.30,3.7
SLBSL,982.10,-1.7,999.00,980.00,995.00,"1,298",999.10,-17
SLCF,9.52,0.32,9.52,9.25,9.25,325,9.49,0.03
SMATA,728.00,-0.55,732.00,725.50,725.50,"1,029",732.00,-4
SMB,"1,820.00",1.11,"1,860.00","1,810.00","1,830.00",889,"1,800.00",20
SMFBS,"1,493.10",-2.09,"1,585.00","1,493.10","1,585.00",374,"1,525.00",-31.9
SMH,506.00,-0.59,534.00,505.30,534.00,"6,919",509.00,-3
SMHL,494.00,0.18,499.00,492.10,499.00,"19,476",493.10,0.9
SMJC,458.00,1.8,467.00,448.30,467.00,"212,329",449.90,8.1
SMPDA,745.00,-0.67,755.00,743.50,755.00,564,750.00,-5
SNLI,414.00,-0.31,416.10,413.00,416.00,"11,773",415.30,-1.3
SNORL,906.00,2.77,921.00,837.60,837.60,"22,802",881.60,24.4
SOHL,688.00,3.93,720.00,646.70,662.00,"578,177",662.00,26
SONA,408.00,1.24,409.00,401.10,401.20,"23,274",403.00,5
SOPL,792.00,-1,810.00,760.00,760.00,"33,277",800.00,-8
SPC,419.00,-0.24,421.70,410.10,411.00,"3,743",420.00,-1
SPDL,368.00,1.55,369.90,345.00,345.00,"27,048",362.40,5.6
SPHL,524.00,0.77,524.90,511.00,520.00,"8,181",520.00,4
SPIL,690.00,0.44,690.00,685.00,685.10,"7,183",687.00,3
SPL,652.00,-1.66,670.00,645.00,647.00,"2,378",663.00,-11
SRLI,374.00,-0.27,374.00,370.00,372.00,"17,635",375.00,-1
SSHL,200.30,-1.09,205.00,200.10,205.00,"78,553",202.50,-2.2
STC,"5,180.00",-0.38,"5,250.00","5,125.00","5,250.00",515,"5,200.00",-20
SWASTIK,"2,040.00",0.74,"2,040.00","2,010.00","2,020.00",441,"2,025.00",15
SWBBL,665.00,-1.19,675.00,662.30,665.00,"4,356",673.00,-8
SWMF,619.00,1.48,619.00,599.20,606.00,"7,161",610.00,9
SYPNL,"1,284.00",0.31,"1,299.00","1,242.00","1,242.00","22,646","1,280.00",4
TAMOR,445.10,-1.09,449.90,445.10,446.00,"9,540",450.00,-4.9
TPC,359.50,-0.22,365.00,357.00,357.00,"10,040",360.30,-0.8
TPKHL,554.00,0.36,570.00,529.90,529.90,"37,966",552.00,2
TRH,790.00,-0.25,796.00,790.00,792.00,"2,221",792.00,-2
TSHL,369.90,-0.62,383.30,365.00,383.30,"6,016",372.20,-2.3
TTL,710.00,-0.85,719.90,705.00,710.50,"16,478",716.10,-6.1
TVCL,482.00,1.45,482.00,468.00,475.00,"2,631",475.10,6.9
UAIL,440.70,-0.16,442.00,433.10,433.10,"14,840",441.40,-0.7
UHEWA,582.00,1.78,588.90,565.10,565.10,"27,628",571.80,10.2
ULBSL,"2,738.00",1.39,"2,748.00","2,703.00","2,748.00",586,"2,700.50",37.5
ULHC,379.00,-6.93,388.00,356.00,388.00,"124,394",407.20,-28.2
UMHL,583.00,0.15,585.00,570.00,570.00,"28,870",582.10,0.9
UMRH,526.10,-1.68,539.00,526.10,528.30,"3,386",535.10,-9
UNHPL,375.00,-1.06,381.50,375.00,381.50,"7,991",379.00,-4
UNL,"48,500.00",1.04,"48,500.00","48,500.00","48,500.00",13,"48,000.00",500
UNLB,"1,275.90",1.43,"1,279.90","1,230.00","1,230.00",658,"1,257.90",18
UPCL,350.00,-0.28,354.00,346.10,346.10,"17,545",351.00,-1
UPPER,192.00,-1.08,196.00,190.10,194.00,"96,273",194.10,-2.1
USHEC,497.00,0.18,501.90,492.20,497.00,"6,636",496.10,0.9
USHL,538.90,-0.02,550.00,525.20,525.40,"1,505",539.00,-0.1
USLB,"1,125.00",-1.2,"1,143.90","1,118.00","1,125.00","1,018","1,138.70",-13.7
VLBS,666.00,0.15,666.00,651.50,655.00,"1,433",665.00,1
VLUCL,420.00,0.24,420.00,412.10,412.40,"5,158",419.00,1
WNLB,"1,351.00",1.2,"1,375.00","1,326.00","1,326.00",166,"1,335.00",16
YMHL,621.80,-2.8,649.00,615.00,639.70,"26,605",639.70,-17.9
